,SAT,base,base2
0,0.341,0.414,0.487
1,0.364,0.449,0.513
2,0.354,0.436,0.502
3,0.323,0.433,0.501
4,0.352,0.432,0.505
5,0.353,0.437,0.507
6,0.357,0.44,0.512
7,0.337,0.429,0.499
8,0.346,0.439,0.507
9,0.347,0.434,0.508
10,0.339,0.435,0.504
11,0.353,0.443,0.517
12,0.34,0.422,0.492
13,0.354,0.436,0.5
14,0.359,0.438,0.507
15,0.35,0.424,0.5
16,0.326,0.406,0.473
17,0.355,0.455,0.518
18,0.348,0.444,0.505
19,0.37,0.44,0.507
20,0.354,0.449,0.519
21,0.358,0.437,0.491
22,0.369,0.448,0.518
23,0.364,0.454,0.511
24,0.352,0.43,0.502
25,0.345,0.439,0.51
26,0.341,0.434,0.506
27,0.352,0.454,0.511
28,0.342,0.435,0.508
29,0.346,0.43,0.498
30,0.349,0.439,0.511
31,0.357,0.446,0.515
32,0.347,0.435,0.503
33,0.346,0.432,0.506
34,0.347,0.437,0.505
35,0.346,0.435,0.505
36,0.342,0.425,0.502
37,0.351,0.447,0.512
38,0.341,0.434,0.504
39,0.339,0.429,0.5
40,0.35,0.441,0.51
41,0.356,0.44,0.506
42,0.358,0.441,0.504
43,0.365,0.449,0.514
44,0.355,0.445,0.519
45,0.348,0.437,0.511
46,0.339,0.433,0.502
47,0.333,0.431,0.499
48,0.356,0.439,0.507
49,0.339,0.431,0.503
50,0.353,0.451,0.52
51,0.336,0.425,0.494
52,0.321,0.425,0.492
53,0.339,0.438,0.51
54,0.354,0.457,0.515
55,0.341,0.432,0.504
56,0.336,0.434,0.507
57,0.35,0.431,0.506
58,0.353,0.439,0.512
59,0.339,0.437,0.506
60,0.352,0.434,0.503
61,0.342,0.437,0.508
62,0.355,0.445,0.51
63,0.336,0.423,0.491
64,0.342,0.439,0.507
65,0.36,0.451,0.522
66,0.343,0.442,0.514
67,0.325,0.405,0.477
68,0.354,0.452,0.516
69,0.351,0.431,0.508
70,0.33,0.429,0.501
71,0.346,0.44,0.508
72,0.346,0.443,0.516
73,0.349,0.452,0.513
74,0.346,0.433,0.505
75,0.339,0.438,0.51
76,0.356,0.449,0.505
77,0.341,0.435,0.504
78,0.356,0.439,0.507
79,0.364,0.444,0.505
80,0.328,0.428,0.496
81,0.343,0.434,0.508
82,0.366,0.456,0.514
83,0.352,0.433,0.505
84,0.349,0.434,0.504
85,0.347,0.44,0.511
86,0.334,0.422,0.492
87,0.344,0.44,0.512
88,0.346,0.431,0.501
89,0.365,0.445,0.517
90,0.361,0.441,0.507
91,0.351,0.439,0.51
92,0.357,0.437,0.507
93,0.36,0.448,0.515
94,0.341,0.427,0.497
95,0.373,0.455,0.516
96,0.351,0.431,0.499
97,0.357,0.45,0.516
98,0.35,0.442,0.509
99,0.331,0.422,0.496
100,0.341,0.433,0.508
101,0.339,0.436,0.502
102,0.345,0.435,0.512
103,0.334,0.433,0.503
104,0.353,0.435,0.505
105,0.357,0.434,0.506
106,0.342,0.433,0.498
107,0.356,0.439,0.509
108,0.346,0.444,0.513
109,0.334,0.425,0.495
110,0.34,0.436,0.51
111,0.347,0.436,0.509
112,0.337,0.434,0.503
113,0.356,0.439,0.504
114,0.352,0.443,0.519
115,0.349,0.43,0.504
116,0.349,0.44,0.506
117,0.339,0.431,0.502
118,0.332,0.421,0.492
119,0.338,0.43,0.498
120,0.344,0.428,0.5
121,0.362,0.449,0.503
122,0.349,0.437,0.512
123,0.36,0.455,0.507
124,0.344,0.425,0.496
125,0.338,0.431,0.498
126,0.355,0.431,0.502
127,0.337,0.432,0.504
128,0.34,0.44,0.513
129,0.335,0.427,0.497
130,0.347,0.43,0.5
131,0.353,0.443,0.517
132,0.347,0.44,0.512
133,0.349,0.438,0.507
134,0.341,0.428,0.499
135,0.332,0.429,0.503
136,0.355,0.439,0.508
137,0.339,0.42,0.49
138,0.339,0.435,0.506
139,0.341,0.429,0.502
140,0.363,0.452,0.501
141,0.338,0.429,0.497
142,0.348,0.433,0.502
143,0.34,0.438,0.51
144,0.348,0.438,0.506
145,0.351,0.439,0.499
146,0.344,0.444,0.518
147,0.363,0.443,0.507
148,0.335,0.426,0.491
149,0.347,0.427,0.504
150,0.344,0.432,0.501
151,0.351,0.449,0.517
152,0.355,0.439,0.507
153,0.348,0.441,0.5
154,0.362,0.449,0.506
155,0.359,0.45,0.504
156,0.334,0.422,0.495
157,0.365,0.456,0.499
158,0.362,0.438,0.511
159,0.361,0.437,0.51
160,0.336,0.432,0.507
161,0.354,0.443,0.501
162,0.342,0.435,0.504
163,0.347,0.44,0.505
164,0.341,0.436,0.506
165,0.333,0.431,0.503
166,0.342,0.43,0.497
167,0.348,0.424,0.497
168,0.352,0.438,0.507
169,0.335,0.419,0.491
170,0.34,0.431,0.504
171,0.341,0.446,0.515
172,0.371,0.451,0.508
173,0.371,0.461,0.514
174,0.34,0.424,0.494
175,0.343,0.428,0.496
176,0.365,0.458,0.508
177,0.348,0.434,0.505
178,0.322,0.412,0.484
179,0.356,0.441,0.505
180,0.335,0.426,0.496
181,0.355,0.44,0.507
182,0.331,0.421,0.491
183,0.35,0.437,0.504
184,0.366,0.439,0.509
185,0.337,0.432,0.501
186,0.361,0.456,0.512
187,0.343,0.435,0.506
188,0.346,0.437,0.508
189,0.367,0.454,0.498
190,0.357,0.442,0.505
191,0.342,0.424,0.493
192,0.34,0.421,0.494
193,0.342,0.432,0.501
194,0.313,0.417,0.492
195,0.366,0.458,0.515
196,0.335,0.421,0.494
197,0.364,0.453,0.504
198,0.353,0.435,0.501
199,0.347,0.437,0.507
200,0.345,0.44,0.513
201,0.379,0.451,0.501
202,0.341,0.432,0.503
203,0.363,0.454,0.511
204,0.353,0.442,0.508
205,0.341,0.436,0.505
206,0.346,0.438,0.511
207,0.357,0.437,0.51
208,0.36,0.446,0.517
209,0.351,0.429,0.501
210,0.358,0.45,0.51
211,0.35,0.438,0.506
212,0.361,0.447,0.507
213,0.359,0.451,0.508
214,0.36,0.447,0.504
215,0.341,0.431,0.504
216,0.348,0.435,0.505
217,0.359,0.436,0.502
218,0.352,0.438,0.506
219,0.354,0.452,0.513
220,0.368,0.457,0.507
221,0.341,0.436,0.507
222,0.36,0.45,0.512
223,0.361,0.449,0.504
224,0.348,0.438,0.508
225,0.355,0.441,0.505
226,0.343,0.437,0.504
227,0.353,0.443,0.501
228,0.337,0.42,0.496
229,0.344,0.434,0.507
230,0.343,0.442,0.509
231,0.354,0.432,0.499
232,0.344,0.434,0.506
233,0.35,0.439,0.511
234,0.344,0.437,0.507
235,0.367,0.451,0.518
236,0.341,0.423,0.493
237,0.356,0.44,0.508
238,0.344,0.441,0.514
239,0.348,0.444,0.511
240,0.359,0.45,0.499
241,0.362,0.448,0.515
242,0.354,0.442,0.51
243,0.36,0.444,0.503
244,0.354,0.437,0.508
245,0.343,0.441,0.508
246,0.34,0.442,0.513
247,0.35,0.449,0.505
248,0.362,0.446,0.51
249,0.359,0.439,0.505
250,0.359,0.447,0.504
251,0.339,0.426,0.492
252,0.37,0.447,0.509
253,0.335,0.432,0.499
254,0.347,0.433,0.501
255,0.356,0.437,0.504
256,0.34,0.419,0.493
257,0.347,0.436,0.507
258,0.34,0.425,0.497
259,0.338,0.428,0.496
260,0.342,0.438,0.508
261,0.351,0.444,0.511
262,0.344,0.436,0.505
263,0.346,0.439,0.507
264,0.352,0.445,0.517
265,0.353,0.438,0.51
266,0.349,0.438,0.51
267,0.358,0.446,0.517
268,0.344,0.424,0.489
269,0.339,0.422,0.491
270,0.33,0.42,0.487
271,0.346,0.426,0.499
272,0.35,0.444,0.513
273,0.361,0.444,0.512
274,0.344,0.426,0.499
275,0.361,0.455,0.513
276,0.346,0.448,0.514
277,0.339,0.437,0.507
278,0.348,0.441,0.515
279,0.339,0.429,0.5
280,0.345,0.439,0.51
281,0.353,0.439,0.512
282,0.337,0.428,0.497
283,0.337,0.432,0.502
284,0.342,0.434,0.506
285,0.361,0.439,0.507
286,0.339,0.434,0.499
287,0.353,0.434,0.508
288,0.34,0.424,0.49
289,0.343,0.425,0.499
290,0.346,0.442,0.508
291,0.361,0.453,0.503
292,0.342,0.427,0.5
293,0.357,0.454,0.515
294,0.353,0.448,0.515
295,0.35,0.43,0.502
296,0.353,0.447,0.516
297,0.338,0.426,0.495
298,0.342,0.441,0.512
299,0.37,0.465,0.508
300,0.34,0.425,0.495
301,0.353,0.445,0.512
302,0.364,0.445,0.515
303,0.333,0.421,0.489
304,0.357,0.444,0.51
305,0.341,0.439,0.509
306,0.344,0.434,0.504
307,0.34,0.434,0.509
308,0.359,0.439,0.513
309,0.325,0.431,0.498
310,0.337,0.422,0.494
311,0.349,0.433,0.503
312,0.337,0.43,0.498
313,0.346,0.443,0.518
314,0.34,0.43,0.503
315,0.348,0.435,0.513
316,0.347,0.423,0.494
317,0.343,0.437,0.508
318,0.348,0.448,0.514
319,0.354,0.439,0.509
320,0.34,0.439,0.509
321,0.341,0.427,0.494
322,0.349,0.438,0.507
323,0.353,0.45,0.509
324,0.351,0.44,0.512
325,0.337,0.431,0.502
326,0.358,0.453,0.519
327,0.351,0.445,0.516
328,0.339,0.422,0.491
329,0.352,0.435,0.508
330,0.348,0.429,0.497
331,0.369,0.447,0.496
332,0.342,0.431,0.505
333,0.343,0.431,0.502
334,0.343,0.43,0.501
335,0.352,0.438,0.508
336,0.334,0.432,0.5
337,0.346,0.439,0.51
338,0.344,0.444,0.515
339,0.369,0.452,0.51
340,0.336,0.435,0.506
341,0.357,0.449,0.516
342,0.344,0.424,0.494
343,0.344,0.433,0.503
344,0.35,0.431,0.503
345,0.354,0.439,0.512
346,0.337,0.436,0.504
347,0.351,0.439,0.51
348,0.344,0.437,0.51
349,0.353,0.441,0.512
350,0.355,0.436,0.508
351,0.354,0.436,0.505
352,0.354,0.446,0.513
353,0.364,0.451,0.51
354,0.34,0.441,0.513
355,0.354,0.437,0.503
356,0.349,0.44,0.511
357,0.347,0.436,0.507
358,0.362,0.44,0.512
359,0.339,0.434,0.496
360,0.352,0.441,0.506
361,0.354,0.446,0.511
362,0.362,0.446,0.507
363,0.354,0.431,0.506
364,0.352,0.427,0.497
365,0.341,0.427,0.5
366,0.339,0.432,0.501
367,0.364,0.445,0.507
368,0.363,0.454,0.513
369,0.352,0.45,0.516
370,0.345,0.442,0.513
371,0.337,0.427,0.501
372,0.355,0.439,0.498
373,0.342,0.434,0.506
374,0.348,0.444,0.514
375,0.346,0.439,0.512
376,0.36,0.452,0.515
377,0.331,0.419,0.488
378,0.344,0.447,0.516
379,0.343,0.437,0.507
380,0.35,0.441,0.513
381,0.353,0.443,0.516
382,0.351,0.432,0.505
383,0.364,0.447,0.507
384,0.351,0.437,0.502
385,0.359,0.448,0.507
386,0.36,0.457,0.507
387,0.352,0.439,0.505
388,0.346,0.42,0.492
389,0.338,0.42,0.492
390,0.345,0.441,0.508
391,0.37,0.456,0.508
392,0.36,0.445,0.504
393,0.356,0.438,0.505
394,0.354,0.434,0.507
395,0.333,0.437,0.504
396,0.341,0.431,0.5
397,0.341,0.422,0.498
398,0.343,0.441,0.514
399,0.351,0.445,0.503
400,0.343,0.432,0.503
401,0.343,0.432,0.501
402,0.34,0.434,0.505
403,0.351,0.437,0.507
404,0.359,0.426,0.499
405,0.356,0.449,0.512
406,0.348,0.436,0.508
407,0.361,0.449,0.505
408,0.351,0.438,0.51
409,0.356,0.438,0.508
410,0.345,0.442,0.509
411,0.33,0.432,0.503
412,0.351,0.439,0.511
413,0.349,0.442,0.506
414,0.369,0.457,0.515
415,0.341,0.431,0.5
416,0.349,0.441,0.517
417,0.349,0.437,0.503
418,0.344,0.445,0.518
419,0.345,0.439,0.508
420,0.332,0.422,0.495
421,0.359,0.448,0.511
422,0.348,0.432,0.503
423,0.345,0.432,0.503
424,0.344,0.428,0.499
425,0.369,0.443,0.495
426,0.351,0.429,0.499
427,0.343,0.435,0.505
428,0.355,0.447,0.511
429,0.345,0.431,0.501
430,0.351,0.437,0.505
431,0.354,0.444,0.511
432,0.357,0.441,0.506
433,0.357,0.45,0.507
434,0.328,0.418,0.486
435,0.363,0.451,0.504
436,0.362,0.447,0.511
437,0.352,0.441,0.512
438,0.343,0.431,0.503
439,0.345,0.446,0.513
440,0.361,0.456,0.515
441,0.326,0.435,0.506
442,0.347,0.436,0.508
443,0.349,0.443,0.51
444,0.352,0.455,0.508
445,0.35,0.437,0.508
446,0.348,0.427,0.498
447,0.358,0.44,0.502
448,0.356,0.422,0.497
449,0.327,0.427,0.494
450,0.361,0.441,0.51
451,0.355,0.439,0.509
452,0.351,0.441,0.514
453,0.336,0.428,0.506
454,0.363,0.461,0.517
455,0.356,0.442,0.513
456,0.349,0.439,0.513
457,0.344,0.438,0.508
458,0.338,0.431,0.501
459,0.342,0.433,0.503
460,0.35,0.439,0.512
461,0.343,0.436,0.508
462,0.356,0.44,0.511
463,0.344,0.442,0.501
464,0.334,0.431,0.5
465,0.355,0.44,0.503
466,0.348,0.434,0.505
467,0.34,0.44,0.508
468,0.339,0.42,0.491
469,0.355,0.441,0.51
470,0.335,0.432,0.503
471,0.343,0.429,0.499
472,0.352,0.445,0.511
473,0.352,0.447,0.51
474,0.345,0.439,0.512
475,0.342,0.434,0.505
476,0.355,0.439,0.509
477,0.364,0.454,0.515
478,0.364,0.441,0.511
479,0.347,0.443,0.516
480,0.341,0.42,0.494
481,0.357,0.439,0.507
482,0.353,0.435,0.51
483,0.348,0.437,0.51
484,0.355,0.435,0.504
485,0.347,0.432,0.503
486,0.363,0.446,0.51
487,0.353,0.431,0.502
488,0.332,0.425,0.494
489,0.342,0.43,0.501
490,0.349,0.429,0.506
491,0.355,0.439,0.507
492,0.341,0.43,0.501
493,0.347,0.432,0.505
494,0.351,0.443,0.512
495,0.341,0.433,0.505
496,0.352,0.433,0.504
497,0.344,0.428,0.499
498,0.373,0.456,0.508
499,0.35,0.445,0.504
500,0.343,0.438,0.506
