,SAT,SAT_bleu,SAT_Met,base3_bleu,base3_Met
0,0.341,0.325,0.146,0.343,0.167
1,0.364,0.323,0.147,0.34,0.165
2,0.354,0.343,0.155,0.348,0.17
3,0.323,0.339,0.152,0.343,0.172
4,0.352,0.306,0.142,0.342,0.159
5,0.353,0.323,0.147,0.34,0.163
6,0.357,0.318,0.145,0.336,0.163
7,0.337,0.328,0.149,0.334,0.163
8,0.346,0.325,0.148,0.338,0.164
9,0.347,0.323,0.146,0.346,0.166
10,0.339,0.327,0.148,0.349,0.167
11,0.353,0.351,0.155,0.338,0.169
12,0.34,0.314,0.144,0.348,0.166
13,0.354,0.336,0.151,0.345,0.168
14,0.359,0.323,0.146,0.337,0.162
15,0.35,0.322,0.145,0.339,0.161
16,0.326,0.329,0.147,0.339,0.165
17,0.355,0.332,0.15,0.347,0.166
18,0.348,0.327,0.149,0.348,0.169
19,0.37,0.339,0.153,0.342,0.172
20,0.354,0.334,0.15,0.347,0.173
21,0.358,0.319,0.146,0.342,0.161
22,0.369,0.323,0.145,0.345,0.165
23,0.364,0.307,0.14,0.343,0.162
24,0.352,0.338,0.153,0.344,0.169
25,0.345,0.324,0.149,0.347,0.163
26,0.341,0.338,0.151,0.338,0.168
27,0.352,0.333,0.151,0.338,0.165
28,0.342,0.315,0.144,0.339,0.162
29,0.346,0.335,0.153,0.343,0.168
30,0.349,0.327,0.149,0.34,0.162
31,0.357,0.348,0.155,0.34,0.173
32,0.347,0.324,0.146,0.344,0.164
33,0.346,0.331,0.148,0.345,0.167
34,0.347,0.323,0.147,0.346,0.161
35,0.346,0.353,0.156,0.343,0.172
36,0.342,0.331,0.15,0.337,0.163
37,0.351,0.338,0.152,0.346,0.17
38,0.341,0.331,0.15,0.339,0.166
39,0.339,0.35,0.159,0.338,0.171
40,0.35,0.327,0.151,0.346,0.168
41,0.356,0.335,0.152,0.344,0.17
42,0.358,0.328,0.146,0.335,0.163
43,0.365,0.324,0.148,0.35,0.169
44,0.355,0.328,0.148,0.349,0.169
45,0.348,0.328,0.15,0.348,0.169
46,0.339,0.328,0.149,0.34,0.167
47,0.333,0.333,0.149,0.344,0.163
48,0.356,0.329,0.149,0.345,0.166
49,0.339,0.328,0.146,0.343,0.169
50,0.353,0.318,0.145,0.344,0.163
51,0.336,0.327,0.149,0.345,0.168
52,0.321,0.34,0.153,0.349,0.172
53,0.339,0.32,0.146,0.348,0.166
54,0.354,0.335,0.149,0.338,0.168
55,0.341,0.34,0.154,0.34,0.168
56,0.336,0.324,0.146,0.335,0.164
57,0.35,0.334,0.15,0.343,0.17
58,0.353,0.343,0.154,0.34,0.168
59,0.339,0.315,0.146,0.348,0.163
60,0.352,0.334,0.15,0.343,0.172
61,0.342,0.318,0.144,0.337,0.16
62,0.355,0.322,0.146,0.347,0.167
63,0.336,0.35,0.156,0.343,0.169
64,0.342,0.325,0.148,0.341,0.162
65,0.36,0.32,0.146,0.347,0.166
66,0.343,0.347,0.155,0.335,0.167
67,0.325,0.315,0.143,0.341,0.161
68,0.354,0.327,0.146,0.339,0.165
69,0.351,0.328,0.146,0.341,0.166
70,0.33,0.339,0.154,0.345,0.166
71,0.346,0.339,0.153,0.338,0.166
72,0.346,0.335,0.152,0.342,0.167
73,0.349,0.328,0.146,0.343,0.166
74,0.346,0.33,0.15,0.342,0.169
75,0.339,0.334,0.151,0.343,0.164
76,0.356,0.327,0.149,0.343,0.166
77,0.341,0.326,0.147,0.344,0.163
78,0.356,0.326,0.149,0.343,0.165
79,0.364,0.319,0.145,0.341,0.165
80,0.328,0.328,0.15,0.348,0.168
81,0.343,0.343,0.153,0.337,0.165
82,0.366,0.336,0.15,0.346,0.167
83,0.352,0.331,0.149,0.342,0.166
84,0.349,0.337,0.151,0.338,0.166
85,0.347,0.305,0.141,0.348,0.161
86,0.334,0.337,0.153,0.347,0.168
87,0.344,0.337,0.153,0.339,0.166
88,0.346,0.335,0.151,0.333,0.171
89,0.365,0.322,0.147,0.344,0.164
90,0.361,0.315,0.146,0.341,0.165
91,0.351,0.338,0.152,0.342,0.172
92,0.357,0.336,0.152,0.346,0.167
93,0.36,0.331,0.149,0.348,0.169
94,0.341,0.335,0.153,0.345,0.169
95,0.373,0.347,0.155,0.34,0.171
96,0.351,0.336,0.151,0.345,0.168
97,0.357,0.338,0.154,0.345,0.167
98,0.35,0.334,0.151,0.344,0.169
99,0.331,0.331,0.151,0.342,0.171
100,0.341,0.342,0.153,0.343,0.172
101,0.339,0.322,0.148,0.343,0.166
102,0.345,0.331,0.149,0.348,0.168
103,0.334,0.318,0.146,0.348,0.164
104,0.353,0.344,0.156,0.34,0.165
105,0.357,0.321,0.148,0.342,0.166
106,0.342,0.332,0.149,0.342,0.166
107,0.356,0.325,0.148,0.339,0.164
108,0.346,0.333,0.152,0.34,0.168
109,0.334,0.324,0.146,0.344,0.167
110,0.34,0.324,0.145,0.342,0.166
111,0.347,0.35,0.156,0.344,0.171
112,0.337,0.329,0.147,0.345,0.169
113,0.356,0.323,0.148,0.341,0.166
114,0.352,0.321,0.147,0.348,0.167
115,0.349,0.32,0.145,0.339,0.162
116,0.349,0.323,0.147,0.336,0.164
117,0.339,0.323,0.146,0.346,0.163
118,0.332,0.345,0.157,0.345,0.176
119,0.338,0.327,0.148,0.338,0.163
120,0.344,0.321,0.146,0.345,0.164
121,0.362,0.336,0.15,0.342,0.165
122,0.349,0.315,0.146,0.335,0.163
123,0.36,0.324,0.148,0.338,0.163
124,0.344,0.338,0.151,0.334,0.165
125,0.338,0.326,0.149,0.341,0.163
126,0.355,0.329,0.151,0.343,0.167
127,0.337,0.325,0.146,0.339,0.163
128,0.34,0.327,0.149,0.341,0.165
129,0.335,0.327,0.148,0.336,0.166
130,0.347,0.32,0.143,0.335,0.161
131,0.353,0.353,0.16,0.342,0.172
132,0.347,0.33,0.149,0.345,0.168
133,0.349,0.331,0.151,0.343,0.17
134,0.341,0.33,0.151,0.346,0.169
135,0.332,0.334,0.149,0.337,0.165
136,0.355,0.322,0.145,0.352,0.168
137,0.339,0.343,0.153,0.333,0.167
138,0.339,0.333,0.148,0.343,0.167
139,0.341,0.336,0.15,0.343,0.164
140,0.363,0.317,0.146,0.339,0.161
141,0.338,0.32,0.149,0.353,0.169
142,0.348,0.327,0.147,0.338,0.161
143,0.34,0.341,0.153,0.339,0.168
144,0.348,0.335,0.15,0.339,0.164
145,0.351,0.355,0.157,0.34,0.174
146,0.344,0.32,0.145,0.34,0.162
147,0.363,0.331,0.15,0.347,0.169
148,0.335,0.34,0.156,0.345,0.168
149,0.347,0.345,0.155,0.343,0.168
150,0.344,0.332,0.148,0.335,0.166
151,0.351,0.338,0.152,0.343,0.168
152,0.355,0.319,0.145,0.342,0.161
153,0.348,0.321,0.145,0.345,0.164
154,0.362,0.348,0.156,0.346,0.173
155,0.359,0.312,0.144,0.35,0.166
156,0.334,0.344,0.154,0.332,0.166
157,0.365,0.326,0.147,0.346,0.163
158,0.362,0.335,0.151,0.344,0.168
159,0.361,0.332,0.15,0.336,0.163
160,0.336,0.306,0.141,0.341,0.159
161,0.354,0.314,0.145,0.342,0.166
162,0.342,0.327,0.147,0.339,0.166
163,0.347,0.324,0.145,0.338,0.165
164,0.341,0.332,0.15,0.343,0.168
165,0.333,0.325,0.15,0.346,0.166
166,0.342,0.339,0.152,0.346,0.169
167,0.348,0.32,0.146,0.349,0.17
168,0.352,0.33,0.149,0.347,0.167
169,0.335,0.328,0.147,0.342,0.162
170,0.34,0.334,0.149,0.342,0.167
171,0.341,0.325,0.148,0.342,0.162
172,0.371,0.315,0.143,0.351,0.165
173,0.371,0.345,0.153,0.334,0.165
174,0.34,0.331,0.15,0.34,0.164
175,0.343,0.344,0.155,0.333,0.168
176,0.365,0.334,0.15,0.341,0.17
177,0.348,0.331,0.151,0.348,0.169
178,0.322,0.337,0.154,0.343,0.17
179,0.356,0.34,0.151,0.341,0.17
180,0.335,0.348,0.156,0.34,0.171
181,0.355,0.332,0.15,0.342,0.169
182,0.331,0.311,0.143,0.336,0.161
183,0.35,0.316,0.144,0.342,0.167
184,0.366,0.324,0.147,0.343,0.171
185,0.337,0.338,0.151,0.336,0.168
186,0.361,0.32,0.144,0.344,0.166
187,0.343,0.331,0.149,0.351,0.17
188,0.346,0.326,0.148,0.342,0.167
189,0.367,0.332,0.15,0.341,0.167
190,0.357,0.325,0.148,0.335,0.161
191,0.342,0.333,0.151,0.335,0.165
192,0.34,0.326,0.149,0.338,0.16
193,0.342,0.332,0.148,0.341,0.165
194,0.313,0.321,0.148,0.342,0.164
195,0.366,0.338,0.153,0.341,0.167
196,0.335,0.328,0.148,0.34,0.167
197,0.364,0.332,0.15,0.338,0.164
198,0.353,0.335,0.152,0.343,0.17
199,0.347,0.334,0.151,0.336,0.164
200,0.345,0.324,0.147,0.34,0.164
201,0.379,0.332,0.15,0.342,0.168
202,0.341,0.333,0.149,0.339,0.166
203,0.363,0.334,0.15,0.344,0.167
204,0.353,0.327,0.15,0.344,0.17
205,0.341,0.326,0.148,0.345,0.166
206,0.346,0.337,0.153,0.34,0.167
207,0.357,0.322,0.148,0.346,0.162
208,0.36,0.327,0.146,0.33,0.162
209,0.351,0.332,0.152,0.338,0.162
210,0.358,0.328,0.149,0.348,0.169
211,0.35,0.34,0.151,0.337,0.165
212,0.361,0.329,0.148,0.339,0.166
213,0.359,0.331,0.148,0.339,0.167
214,0.36,0.326,0.145,0.344,0.17
215,0.341,0.332,0.15,0.344,0.171
216,0.348,0.327,0.149,0.336,0.169
217,0.359,0.323,0.148,0.348,0.163
218,0.352,0.335,0.15,0.341,0.167
219,0.354,0.315,0.143,0.339,0.16
220,0.368,0.35,0.155,0.338,0.167
221,0.341,0.338,0.152,0.341,0.17
222,0.36,0.34,0.153,0.337,0.166
223,0.361,0.337,0.152,0.349,0.171
224,0.348,0.316,0.147,0.347,0.161
225,0.355,0.317,0.144,0.341,0.162
226,0.343,0.304,0.141,0.35,0.161
227,0.353,0.334,0.15,0.346,0.171
228,0.337,0.35,0.157,0.339,0.176
229,0.344,0.32,0.145,0.344,0.165
230,0.343,0.321,0.143,0.337,0.166
231,0.354,0.318,0.144,0.343,0.164
232,0.344,0.34,0.152,0.339,0.166
233,0.35,0.331,0.148,0.341,0.167
234,0.344,0.322,0.146,0.342,0.164
235,0.367,0.327,0.15,0.344,0.168
236,0.341,0.351,0.159,0.347,0.173
237,0.356,0.337,0.155,0.35,0.169
238,0.344,0.342,0.153,0.337,0.166
239,0.348,0.32,0.146,0.348,0.167
240,0.359,0.332,0.15,0.334,0.164
241,0.362,0.321,0.145,0.342,0.167
242,0.354,0.321,0.146,0.346,0.166
243,0.36,0.338,0.151,0.346,0.169
244,0.354,0.355,0.158,0.336,0.172
245,0.343,0.322,0.148,0.344,0.165
246,0.34,0.315,0.143,0.341,0.162
247,0.35,0.327,0.151,0.342,0.163
248,0.362,0.334,0.15,0.339,0.165
249,0.359,0.321,0.147,0.333,0.156
250,0.359,0.337,0.151,0.335,0.167
251,0.339,0.333,0.15,0.333,0.164
252,0.37,0.329,0.149,0.346,0.168
253,0.335,0.322,0.146,0.332,0.161
254,0.347,0.333,0.153,0.349,0.171
255,0.356,0.333,0.152,0.338,0.166
256,0.34,0.345,0.156,0.34,0.169
257,0.347,0.327,0.149,0.345,0.165
258,0.34,0.329,0.152,0.349,0.173
259,0.338,0.328,0.146,0.337,0.163
260,0.342,0.318,0.146,0.344,0.166
261,0.351,0.329,0.148,0.342,0.165
262,0.344,0.333,0.149,0.339,0.166
263,0.346,0.308,0.141,0.354,0.169
264,0.352,0.335,0.152,0.345,0.167
265,0.353,0.325,0.146,0.341,0.167
266,0.349,0.316,0.144,0.342,0.164
267,0.358,0.341,0.155,0.343,0.169
268,0.344,0.327,0.148,0.344,0.169
269,0.339,0.333,0.152,0.349,0.167
270,0.33,0.34,0.153,0.34,0.169
271,0.346,0.343,0.152,0.333,0.165
272,0.35,0.341,0.154,0.342,0.17
273,0.361,0.336,0.149,0.339,0.17
274,0.344,0.322,0.146,0.335,0.159
275,0.361,0.34,0.154,0.339,0.167
276,0.346,0.336,0.152,0.344,0.17
277,0.339,0.323,0.147,0.345,0.165
278,0.348,0.324,0.147,0.337,0.162
279,0.339,0.35,0.157,0.341,0.171
280,0.345,0.322,0.148,0.345,0.167
281,0.353,0.322,0.147,0.344,0.166
282,0.337,0.331,0.149,0.347,0.167
283,0.337,0.332,0.148,0.345,0.171
284,0.342,0.308,0.142,0.346,0.163
285,0.361,0.33,0.149,0.344,0.165
286,0.339,0.339,0.151,0.334,0.164
287,0.353,0.342,0.154,0.338,0.171
288,0.34,0.328,0.146,0.342,0.166
289,0.343,0.345,0.155,0.341,0.171
290,0.346,0.334,0.152,0.336,0.164
291,0.361,0.318,0.145,0.343,0.164
292,0.342,0.34,0.151,0.344,0.172
293,0.357,0.338,0.152,0.345,0.17
294,0.353,0.332,0.15,0.338,0.17
295,0.35,0.334,0.153,0.347,0.172
296,0.353,0.315,0.144,0.34,0.162
297,0.338,0.342,0.153,0.332,0.164
298,0.342,0.335,0.149,0.339,0.165
299,0.37,0.328,0.149,0.342,0.168
300,0.34,0.334,0.153,0.347,0.168
301,0.353,0.343,0.153,0.338,0.168
302,0.364,0.335,0.152,0.341,0.163
303,0.333,0.328,0.15,0.343,0.164
304,0.357,0.336,0.154,0.345,0.169
305,0.341,0.324,0.15,0.354,0.168
306,0.344,0.355,0.156,0.341,0.172
307,0.34,0.341,0.154,0.352,0.173
308,0.359,0.334,0.146,0.347,0.168
309,0.325,0.33,0.146,0.339,0.164
310,0.337,0.332,0.149,0.348,0.171
311,0.349,0.34,0.154,0.348,0.169
312,0.337,0.325,0.148,0.343,0.165
313,0.346,0.34,0.155,0.347,0.173
314,0.34,0.325,0.148,0.352,0.168
315,0.348,0.325,0.148,0.34,0.163
316,0.347,0.333,0.15,0.339,0.168
317,0.343,0.344,0.155,0.336,0.167
318,0.348,0.329,0.148,0.34,0.164
319,0.354,0.316,0.144,0.342,0.162
320,0.34,0.32,0.146,0.334,0.159
321,0.341,0.341,0.154,0.349,0.17
322,0.349,0.328,0.149,0.338,0.165
323,0.353,0.318,0.145,0.35,0.166
324,0.351,0.335,0.15,0.34,0.166
325,0.337,0.338,0.155,0.345,0.167
326,0.358,0.325,0.148,0.342,0.167
327,0.351,0.322,0.149,0.354,0.17
328,0.339,0.322,0.149,0.346,0.164
329,0.352,0.345,0.155,0.346,0.178
330,0.348,0.338,0.15,0.338,0.168
331,0.369,0.333,0.151,0.347,0.169
332,0.342,0.336,0.153,0.343,0.169
333,0.343,0.318,0.145,0.342,0.164
334,0.343,0.342,0.153,0.339,0.169
335,0.352,0.342,0.153,0.339,0.169
336,0.334,0.327,0.151,0.342,0.164
337,0.346,0.344,0.152,0.334,0.168
338,0.344,0.332,0.151,0.342,0.169
339,0.369,0.337,0.152,0.343,0.166
340,0.336,0.321,0.145,0.345,0.167
341,0.357,0.325,0.146,0.34,0.167
342,0.344,0.341,0.152,0.346,0.171
343,0.344,0.332,0.152,0.354,0.17
344,0.35,0.328,0.149,0.346,0.17
345,0.354,0.323,0.148,0.344,0.167
346,0.337,0.32,0.143,0.336,0.162
347,0.351,0.339,0.155,0.338,0.171
348,0.344,0.317,0.145,0.334,0.159
349,0.353,0.313,0.145,0.34,0.161
350,0.355,0.325,0.148,0.337,0.163
351,0.354,0.318,0.144,0.341,0.162
352,0.354,0.317,0.147,0.35,0.164
353,0.364,0.346,0.153,0.345,0.175
354,0.34,0.317,0.147,0.345,0.165
355,0.354,0.329,0.149,0.342,0.168
356,0.349,0.319,0.146,0.347,0.163
357,0.347,0.352,0.156,0.343,0.173
358,0.362,0.342,0.153,0.343,0.167
359,0.339,0.337,0.153,0.337,0.171
360,0.352,0.351,0.158,0.345,0.176
361,0.354,0.318,0.145,0.348,0.164
362,0.362,0.337,0.153,0.339,0.168
363,0.354,0.31,0.144,0.347,0.167
364,0.352,0.325,0.146,0.343,0.167
365,0.341,0.329,0.15,0.345,0.166
366,0.339,0.33,0.15,0.341,0.163
367,0.364,0.33,0.148,0.343,0.171
368,0.363,0.338,0.152,0.348,0.169
369,0.352,0.336,0.152,0.343,0.17
370,0.345,0.334,0.153,0.344,0.168
371,0.337,0.33,0.149,0.334,0.164
372,0.355,0.319,0.147,0.338,0.164
373,0.342,0.345,0.156,0.341,0.17
374,0.348,0.317,0.144,0.336,0.162
375,0.346,0.336,0.153,0.349,0.168
376,0.36,0.333,0.151,0.34,0.165
377,0.331,0.336,0.153,0.346,0.17
378,0.344,0.324,0.147,0.339,0.161
379,0.343,0.337,0.153,0.345,0.166
380,0.35,0.334,0.149,0.346,0.17
381,0.353,0.322,0.147,0.343,0.162
382,0.351,0.336,0.149,0.339,0.168
383,0.364,0.352,0.157,0.333,0.168
384,0.351,0.322,0.146,0.348,0.163
385,0.359,0.333,0.154,0.349,0.17
386,0.36,0.34,0.153,0.343,0.167
387,0.352,0.336,0.151,0.343,0.167
388,0.346,0.327,0.148,0.337,0.161
389,0.338,0.324,0.146,0.343,0.163
390,0.345,0.328,0.149,0.337,0.165
391,0.37,0.329,0.147,0.334,0.164
392,0.36,0.32,0.148,0.343,0.163
393,0.356,0.336,0.152,0.341,0.167
394,0.354,0.322,0.147,0.343,0.163
395,0.333,0.347,0.153,0.345,0.173
396,0.341,0.327,0.151,0.347,0.165
397,0.341,0.332,0.148,0.338,0.164
398,0.343,0.329,0.149,0.338,0.165
399,0.351,0.332,0.151,0.34,0.165
400,0.343,0.329,0.148,0.336,0.162
401,0.343,0.33,0.153,0.352,0.169
402,0.34,0.323,0.148,0.335,0.161
403,0.351,0.327,0.148,0.338,0.166
404,0.359,0.324,0.147,0.337,0.163
405,0.356,0.331,0.151,0.337,0.165
406,0.348,0.34,0.15,0.334,0.166
407,0.361,0.333,0.152,0.348,0.172
408,0.351,0.323,0.145,0.333,0.16
409,0.356,0.336,0.15,0.334,0.165
410,0.345,0.332,0.151,0.341,0.165
411,0.33,0.332,0.151,0.341,0.167
412,0.351,0.334,0.15,0.338,0.167
413,0.349,0.321,0.146,0.338,0.159
414,0.369,0.34,0.152,0.336,0.165
415,0.341,0.333,0.151,0.34,0.162
416,0.349,0.323,0.147,0.339,0.165
417,0.349,0.338,0.152,0.334,0.164
418,0.344,0.325,0.148,0.343,0.164
419,0.345,0.322,0.146,0.333,0.164
420,0.332,0.342,0.154,0.341,0.169
421,0.359,0.331,0.151,0.343,0.166
422,0.348,0.344,0.154,0.344,0.168
423,0.345,0.331,0.151,0.343,0.164
424,0.344,0.339,0.153,0.345,0.168
425,0.369,0.325,0.146,0.342,0.162
426,0.351,0.319,0.145,0.344,0.164
427,0.343,0.336,0.152,0.342,0.164
428,0.355,0.34,0.151,0.337,0.171
429,0.345,0.322,0.148,0.345,0.168
430,0.351,0.323,0.148,0.347,0.167
431,0.354,0.33,0.148,0.339,0.166
432,0.357,0.338,0.151,0.343,0.168
433,0.357,0.342,0.152,0.34,0.168
434,0.328,0.331,0.151,0.339,0.166
435,0.363,0.341,0.156,0.351,0.17
436,0.362,0.327,0.148,0.34,0.163
437,0.352,0.343,0.155,0.349,0.171
438,0.343,0.328,0.149,0.347,0.166
439,0.345,0.338,0.149,0.337,0.172
440,0.361,0.326,0.15,0.337,0.165
441,0.326,0.329,0.15,0.344,0.17
442,0.347,0.338,0.154,0.346,0.17
443,0.349,0.328,0.149,0.34,0.163
444,0.352,0.339,0.152,0.338,0.169
445,0.35,0.326,0.15,0.345,0.166
446,0.348,0.324,0.147,0.348,0.166
447,0.358,0.335,0.15,0.343,0.166
448,0.356,0.314,0.148,0.348,0.167
449,0.327,0.329,0.15,0.342,0.166
450,0.361,0.335,0.152,0.339,0.165
451,0.355,0.336,0.153,0.34,0.17
452,0.351,0.332,0.15,0.354,0.173
453,0.336,0.332,0.148,0.342,0.164
454,0.363,0.335,0.148,0.341,0.167
455,0.356,0.327,0.149,0.344,0.168
456,0.349,0.316,0.145,0.346,0.168
457,0.344,0.309,0.139,0.348,0.162
458,0.338,0.331,0.149,0.347,0.167
459,0.342,0.338,0.155,0.353,0.172
460,0.35,0.321,0.146,0.337,0.16
461,0.343,0.335,0.152,0.341,0.165
462,0.356,0.335,0.151,0.341,0.162
463,0.344,0.323,0.144,0.344,0.161
464,0.334,0.33,0.151,0.343,0.166
465,0.355,0.324,0.146,0.339,0.164
466,0.348,0.334,0.149,0.338,0.166
467,0.34,0.331,0.15,0.34,0.167
468,0.339,0.324,0.15,0.347,0.163
469,0.355,0.338,0.152,0.344,0.169
470,0.335,0.315,0.143,0.341,0.162
471,0.343,0.332,0.153,0.348,0.167
472,0.352,0.317,0.145,0.342,0.165
473,0.352,0.335,0.153,0.343,0.167
474,0.345,0.318,0.146,0.345,0.166
475,0.342,0.314,0.142,0.339,0.161
476,0.355,0.332,0.15,0.339,0.163
477,0.364,0.341,0.152,0.338,0.163
478,0.364,0.313,0.143,0.348,0.164
479,0.347,0.322,0.146,0.348,0.166
480,0.341,0.338,0.152,0.345,0.169
481,0.357,0.34,0.153,0.346,0.169
482,0.353,0.329,0.153,0.348,0.171
483,0.348,0.345,0.153,0.338,0.169
484,0.355,0.313,0.142,0.335,0.164
485,0.347,0.323,0.146,0.344,0.167
486,0.363,0.334,0.151,0.345,0.168
487,0.353,0.333,0.15,0.345,0.168
488,0.332,0.329,0.147,0.345,0.169
489,0.342,0.312,0.145,0.338,0.161
490,0.349,0.314,0.144,0.347,0.16
491,0.355,0.329,0.148,0.337,0.164
492,0.341,0.325,0.149,0.345,0.167
493,0.347,0.339,0.153,0.342,0.166
494,0.351,0.352,0.158,0.349,0.175
495,0.341,0.333,0.151,0.351,0.169
496,0.352,0.338,0.151,0.337,0.17
497,0.344,0.345,0.154,0.349,0.174
498,0.373,0.317,0.143,0.341,0.162
499,0.35,0.328,0.15,0.345,0.172
