,SAT,SAT_bleu,SAT_Met,base3_bleu,base3_Met
500,0.343,0.324,0.145,0.346,0.167
501,0.339,0.319,0.145,0.347,0.168
502,0.344,0.325,0.15,0.344,0.168
503,0.352,0.327,0.15,0.346,0.169
504,0.344,0.334,0.149,0.339,0.167
505,0.334,0.319,0.143,0.335,0.164
506,0.347,0.315,0.14,0.343,0.162
507,0.363,0.336,0.152,0.343,0.168
508,0.356,0.326,0.148,0.341,0.168
509,0.369,0.323,0.144,0.344,0.165
510,0.342,0.334,0.151,0.344,0.169
511,0.35,0.33,0.15,0.346,0.165
512,0.342,0.325,0.146,0.339,0.163
513,0.341,0.31,0.143,0.341,0.164
514,0.36,0.327,0.148,0.341,0.168
515,0.353,0.324,0.149,0.348,0.165
516,0.351,0.34,0.154,0.352,0.169
517,0.35,0.358,0.16,0.339,0.171
518,0.356,0.313,0.143,0.337,0.163
519,0.338,0.315,0.143,0.343,0.164
520,0.36,0.322,0.145,0.338,0.163
521,0.353,0.321,0.147,0.342,0.164
522,0.333,0.323,0.149,0.345,0.167
523,0.342,0.328,0.147,0.334,0.164
524,0.345,0.358,0.157,0.343,0.174
525,0.358,0.336,0.153,0.345,0.165
526,0.349,0.337,0.155,0.341,0.167
527,0.351,0.33,0.148,0.342,0.168
528,0.344,0.342,0.154,0.34,0.17
529,0.323,0.336,0.153,0.336,0.162
530,0.342,0.339,0.151,0.339,0.168
531,0.352,0.325,0.147,0.335,0.159
532,0.318,0.331,0.151,0.342,0.165
533,0.349,0.349,0.155,0.345,0.172
534,0.352,0.338,0.15,0.334,0.164
535,0.357,0.33,0.149,0.344,0.165
536,0.332,0.338,0.152,0.351,0.169
537,0.365,0.311,0.145,0.349,0.164
538,0.35,0.322,0.146,0.346,0.169
539,0.34,0.333,0.153,0.341,0.167
540,0.353,0.336,0.151,0.343,0.166
541,0.352,0.326,0.146,0.342,0.164
542,0.374,0.329,0.148,0.343,0.167
543,0.34,0.354,0.159,0.344,0.173
544,0.352,0.32,0.145,0.341,0.161
545,0.329,0.338,0.154,0.343,0.166
546,0.344,0.33,0.15,0.348,0.169
547,0.355,0.355,0.159,0.341,0.173
548,0.352,0.327,0.149,0.346,0.166
549,0.346,0.317,0.144,0.343,0.163
550,0.35,0.33,0.145,0.335,0.167
551,0.359,0.331,0.15,0.349,0.174
552,0.349,0.331,0.15,0.35,0.166
553,0.35,0.32,0.147,0.345,0.17
554,0.357,0.321,0.147,0.337,0.162
555,0.356,0.327,0.147,0.337,0.165
556,0.33,0.326,0.151,0.346,0.167
557,0.338,0.328,0.147,0.341,0.164
558,0.346,0.336,0.15,0.337,0.169
559,0.35,0.322,0.15,0.347,0.165
560,0.35,0.32,0.145,0.344,0.167
561,0.355,0.313,0.145,0.348,0.166
562,0.355,0.333,0.148,0.342,0.167
563,0.36,0.317,0.143,0.346,0.166
564,0.337,0.327,0.151,0.34,0.163
565,0.357,0.329,0.149,0.347,0.168
566,0.346,0.318,0.145,0.345,0.166
567,0.341,0.328,0.146,0.336,0.165
568,0.335,0.325,0.148,0.346,0.167
569,0.355,0.327,0.149,0.34,0.165
570,0.327,0.336,0.15,0.342,0.168
571,0.351,0.331,0.151,0.346,0.164
572,0.347,0.338,0.151,0.345,0.168
573,0.351,0.321,0.146,0.346,0.167
574,0.344,0.33,0.149,0.336,0.162
575,0.352,0.327,0.151,0.346,0.167
576,0.355,0.343,0.153,0.341,0.172
577,0.356,0.315,0.148,0.348,0.165
578,0.337,0.325,0.148,0.344,0.166
579,0.361,0.325,0.146,0.338,0.167
580,0.351,0.33,0.151,0.343,0.165
581,0.351,0.335,0.15,0.347,0.171
582,0.333,0.337,0.151,0.339,0.166
583,0.345,0.334,0.15,0.34,0.168
584,0.352,0.333,0.151,0.348,0.167
585,0.328,0.333,0.149,0.342,0.165
586,0.346,0.331,0.151,0.343,0.168
587,0.346,0.319,0.144,0.342,0.167
588,0.344,0.318,0.147,0.346,0.164
589,0.341,0.343,0.153,0.34,0.168
590,0.341,0.325,0.148,0.349,0.168
591,0.355,0.34,0.151,0.341,0.169
592,0.351,0.339,0.151,0.334,0.165
593,0.355,0.329,0.147,0.343,0.164
594,0.355,0.328,0.148,0.343,0.163
595,0.35,0.343,0.154,0.346,0.175
596,0.35,0.322,0.146,0.344,0.165
597,0.348,0.338,0.154,0.356,0.17
598,0.357,0.343,0.157,0.349,0.172
599,0.342,0.323,0.148,0.344,0.166
600,0.36,0.327,0.147,0.338,0.163
601,0.348,0.318,0.146,0.344,0.166
602,0.356,0.336,0.15,0.34,0.17
603,0.362,0.33,0.151,0.356,0.168
604,0.334,0.321,0.146,0.342,0.163
605,0.336,0.332,0.151,0.342,0.169
606,0.333,0.331,0.15,0.34,0.165
607,0.351,0.327,0.147,0.339,0.165
608,0.352,0.334,0.148,0.342,0.166
609,0.343,0.327,0.147,0.344,0.165
610,0.349,0.318,0.146,0.344,0.164
611,0.365,0.326,0.151,0.339,0.168
612,0.346,0.33,0.151,0.352,0.171
613,0.342,0.335,0.154,0.346,0.169
614,0.349,0.314,0.143,0.353,0.167
615,0.352,0.332,0.151,0.347,0.168
616,0.328,0.328,0.15,0.345,0.164
617,0.36,0.33,0.151,0.343,0.17
618,0.362,0.33,0.151,0.341,0.165
619,0.361,0.329,0.149,0.342,0.167
620,0.348,0.324,0.148,0.335,0.163
621,0.356,0.352,0.159,0.347,0.175
622,0.353,0.331,0.152,0.339,0.163
623,0.349,0.325,0.145,0.34,0.163
624,0.362,0.322,0.147,0.34,0.165
625,0.339,0.343,0.155,0.339,0.164
626,0.356,0.332,0.15,0.341,0.165
627,0.336,0.325,0.148,0.345,0.166
628,0.335,0.331,0.148,0.334,0.163
629,0.351,0.342,0.154,0.347,0.173
630,0.345,0.349,0.155,0.336,0.169
631,0.329,0.336,0.153,0.345,0.17
632,0.333,0.344,0.153,0.339,0.167
633,0.345,0.333,0.15,0.337,0.162
634,0.348,0.332,0.149,0.336,0.164
635,0.359,0.315,0.145,0.344,0.164
636,0.341,0.337,0.153,0.346,0.169
637,0.358,0.335,0.153,0.352,0.17
638,0.348,0.34,0.154,0.341,0.168
639,0.348,0.338,0.152,0.335,0.164
640,0.337,0.333,0.151,0.338,0.164
641,0.348,0.314,0.144,0.344,0.162
642,0.338,0.339,0.152,0.343,0.169
643,0.351,0.334,0.149,0.335,0.166
644,0.342,0.343,0.155,0.345,0.172
645,0.337,0.316,0.147,0.347,0.161
646,0.347,0.318,0.143,0.335,0.162
647,0.342,0.336,0.153,0.343,0.167
648,0.378,0.331,0.15,0.344,0.168
649,0.351,0.341,0.153,0.34,0.168
650,0.351,0.348,0.155,0.349,0.174
651,0.353,0.326,0.148,0.348,0.168
652,0.339,0.336,0.15,0.339,0.169
653,0.359,0.319,0.144,0.341,0.162
654,0.35,0.32,0.148,0.347,0.165
655,0.343,0.322,0.149,0.342,0.163
656,0.349,0.321,0.146,0.343,0.164
657,0.356,0.335,0.153,0.344,0.168
658,0.353,0.33,0.149,0.346,0.169
659,0.345,0.321,0.146,0.342,0.167
660,0.33,0.344,0.153,0.347,0.175
661,0.352,0.325,0.148,0.346,0.169
662,0.341,0.326,0.147,0.344,0.167
663,0.342,0.339,0.15,0.335,0.166
664,0.339,0.333,0.15,0.332,0.162
665,0.34,0.326,0.147,0.343,0.168
666,0.366,0.347,0.154,0.348,0.17
667,0.345,0.329,0.148,0.333,0.162
668,0.348,0.328,0.15,0.339,0.168
669,0.347,0.341,0.155,0.348,0.172
670,0.352,0.331,0.152,0.342,0.169
671,0.34,0.328,0.149,0.334,0.165
672,0.364,0.327,0.148,0.342,0.167
673,0.354,0.337,0.152,0.335,0.166
674,0.344,0.315,0.146,0.344,0.161
675,0.337,0.331,0.15,0.343,0.167
676,0.348,0.329,0.149,0.34,0.166
677,0.338,0.319,0.148,0.34,0.163
678,0.336,0.323,0.148,0.341,0.163
679,0.341,0.322,0.147,0.337,0.162
680,0.351,0.331,0.151,0.341,0.167
681,0.34,0.332,0.15,0.339,0.167
682,0.353,0.34,0.15,0.336,0.166
683,0.334,0.331,0.15,0.351,0.169
684,0.355,0.327,0.148,0.344,0.167
685,0.362,0.327,0.147,0.334,0.16
686,0.33,0.334,0.152,0.337,0.162
687,0.35,0.336,0.149,0.341,0.169
688,0.355,0.333,0.15,0.335,0.164
689,0.348,0.325,0.147,0.334,0.166
690,0.343,0.332,0.153,0.345,0.169
691,0.354,0.329,0.148,0.349,0.17
692,0.334,0.325,0.146,0.345,0.17
693,0.353,0.326,0.148,0.342,0.167
694,0.343,0.325,0.148,0.339,0.162
695,0.372,0.316,0.144,0.342,0.162
696,0.363,0.329,0.148,0.333,0.161
697,0.347,0.338,0.153,0.346,0.171
698,0.353,0.323,0.146,0.351,0.164
699,0.363,0.319,0.146,0.35,0.163
700,0.357,0.324,0.148,0.337,0.162
701,0.351,0.328,0.146,0.336,0.162
702,0.341,0.333,0.151,0.344,0.165
703,0.356,0.322,0.146,0.339,0.164
704,0.368,0.32,0.147,0.341,0.162
705,0.356,0.331,0.149,0.335,0.163
706,0.35,0.337,0.152,0.344,0.166
707,0.354,0.324,0.147,0.34,0.164
708,0.35,0.325,0.147,0.341,0.165
709,0.345,0.314,0.145,0.346,0.166
710,0.345,0.327,0.147,0.346,0.168
711,0.356,0.324,0.149,0.337,0.164
712,0.34,0.344,0.154,0.338,0.167
713,0.349,0.329,0.149,0.342,0.167
714,0.349,0.335,0.147,0.336,0.166
715,0.348,0.329,0.15,0.344,0.165
716,0.348,0.318,0.148,0.337,0.162
717,0.339,0.335,0.15,0.339,0.164
718,0.363,0.328,0.146,0.341,0.165
719,0.338,0.331,0.148,0.341,0.165
720,0.352,0.321,0.147,0.341,0.163
721,0.344,0.323,0.147,0.341,0.164
722,0.358,0.329,0.148,0.345,0.168
723,0.347,0.316,0.145,0.341,0.161
724,0.354,0.333,0.151,0.339,0.163
725,0.347,0.323,0.147,0.348,0.169
726,0.343,0.332,0.149,0.341,0.164
727,0.349,0.331,0.152,0.341,0.166
728,0.342,0.338,0.148,0.333,0.165
729,0.334,0.326,0.147,0.347,0.17
730,0.351,0.341,0.154,0.341,0.167
731,0.342,0.323,0.145,0.346,0.165
732,0.332,0.344,0.154,0.345,0.173
733,0.352,0.341,0.154,0.342,0.17
734,0.35,0.328,0.149,0.347,0.168
735,0.348,0.344,0.153,0.346,0.173
736,0.351,0.326,0.147,0.345,0.17
737,0.35,0.326,0.146,0.342,0.163
738,0.337,0.333,0.152,0.351,0.168
739,0.353,0.339,0.156,0.342,0.17
740,0.353,0.326,0.145,0.344,0.166
741,0.339,0.336,0.149,0.335,0.162
742,0.35,0.332,0.148,0.345,0.17
743,0.349,0.323,0.148,0.35,0.169
744,0.36,0.337,0.153,0.345,0.169
745,0.353,0.326,0.148,0.349,0.167
746,0.34,0.343,0.154,0.339,0.165
747,0.366,0.316,0.143,0.348,0.169
748,0.338,0.335,0.151,0.34,0.165
749,0.341,0.341,0.154,0.351,0.173
750,0.378,0.339,0.153,0.35,0.169
751,0.357,0.333,0.151,0.344,0.166
752,0.347,0.328,0.151,0.346,0.168
753,0.328,0.323,0.148,0.345,0.165
754,0.339,0.336,0.151,0.342,0.169
755,0.352,0.322,0.147,0.343,0.162
756,0.354,0.32,0.147,0.341,0.164
757,0.35,0.331,0.15,0.337,0.165
758,0.34,0.342,0.154,0.346,0.169
759,0.348,0.308,0.142,0.344,0.161
760,0.351,0.346,0.153,0.343,0.171
761,0.373,0.319,0.143,0.349,0.169
762,0.356,0.323,0.148,0.35,0.169
763,0.339,0.317,0.147,0.341,0.159
764,0.336,0.347,0.155,0.348,0.172
765,0.343,0.322,0.146,0.343,0.165
766,0.364,0.327,0.149,0.347,0.167
767,0.334,0.327,0.148,0.339,0.166
768,0.349,0.343,0.156,0.341,0.171
769,0.346,0.314,0.144,0.345,0.166
770,0.358,0.326,0.147,0.346,0.165
771,0.359,0.318,0.146,0.347,0.161
772,0.329,0.325,0.147,0.352,0.165
773,0.364,0.33,0.147,0.338,0.164
774,0.357,0.332,0.151,0.342,0.162
775,0.34,0.341,0.15,0.333,0.164
776,0.364,0.331,0.15,0.338,0.167
777,0.341,0.331,0.148,0.346,0.17
778,0.334,0.332,0.15,0.339,0.163
779,0.34,0.34,0.153,0.338,0.166
780,0.369,0.326,0.147,0.336,0.163
781,0.342,0.338,0.154,0.341,0.167
782,0.368,0.336,0.151,0.338,0.168
783,0.348,0.337,0.151,0.35,0.171
784,0.35,0.32,0.146,0.346,0.164
785,0.343,0.327,0.148,0.342,0.17
786,0.37,0.328,0.15,0.353,0.168
787,0.335,0.338,0.149,0.333,0.165
788,0.353,0.316,0.145,0.35,0.165
789,0.341,0.317,0.145,0.345,0.162
790,0.334,0.324,0.149,0.35,0.169
791,0.337,0.321,0.146,0.343,0.161
792,0.345,0.327,0.15,0.342,0.164
793,0.353,0.335,0.151,0.346,0.167
794,0.336,0.341,0.154,0.345,0.168
795,0.35,0.322,0.145,0.336,0.165
796,0.344,0.317,0.142,0.344,0.166
797,0.334,0.342,0.152,0.341,0.169
798,0.343,0.325,0.148,0.341,0.166
799,0.343,0.332,0.149,0.334,0.165
800,0.341,0.335,0.15,0.336,0.164
801,0.355,0.328,0.147,0.345,0.167
802,0.379,0.329,0.149,0.345,0.167
803,0.343,0.343,0.152,0.336,0.166
804,0.348,0.327,0.147,0.336,0.164
805,0.359,0.332,0.152,0.348,0.172
806,0.341,0.318,0.15,0.344,0.165
807,0.333,0.326,0.147,0.34,0.17
808,0.348,0.326,0.148,0.344,0.164
809,0.362,0.326,0.147,0.337,0.163
810,0.347,0.338,0.151,0.34,0.167
811,0.341,0.321,0.145,0.343,0.163
812,0.327,0.331,0.151,0.338,0.168
813,0.344,0.323,0.148,0.341,0.164
814,0.345,0.33,0.147,0.336,0.165
815,0.316,0.352,0.156,0.342,0.173
816,0.341,0.326,0.149,0.348,0.166
817,0.355,0.317,0.144,0.34,0.161
818,0.355,0.321,0.146,0.345,0.165
819,0.362,0.32,0.147,0.349,0.166
820,0.342,0.329,0.149,0.339,0.165
821,0.349,0.316,0.146,0.346,0.164
822,0.347,0.33,0.15,0.35,0.17
823,0.324,0.35,0.157,0.338,0.169
824,0.352,0.342,0.155,0.342,0.168
825,0.351,0.326,0.148,0.346,0.166
826,0.371,0.329,0.147,0.343,0.165
827,0.352,0.331,0.148,0.342,0.165
828,0.336,0.332,0.15,0.342,0.164
829,0.357,0.323,0.148,0.337,0.159
830,0.36,0.329,0.148,0.341,0.165
831,0.357,0.333,0.152,0.347,0.164
832,0.358,0.339,0.152,0.348,0.171
833,0.362,0.34,0.15,0.34,0.165
834,0.356,0.342,0.155,0.338,0.169
835,0.336,0.333,0.15,0.335,0.165
836,0.354,0.331,0.15,0.34,0.167
837,0.358,0.345,0.154,0.344,0.169
838,0.354,0.325,0.148,0.343,0.165
839,0.356,0.316,0.147,0.351,0.164
840,0.344,0.328,0.149,0.347,0.171
841,0.338,0.336,0.152,0.338,0.167
842,0.33,0.326,0.149,0.343,0.165
843,0.343,0.343,0.155,0.347,0.174
844,0.347,0.341,0.155,0.348,0.171
845,0.338,0.335,0.149,0.336,0.163
846,0.355,0.32,0.144,0.34,0.166
847,0.332,0.327,0.148,0.344,0.167
848,0.357,0.338,0.152,0.345,0.17
849,0.353,0.321,0.145,0.342,0.162
850,0.362,0.341,0.155,0.341,0.17
851,0.351,0.325,0.147,0.346,0.169
852,0.349,0.316,0.146,0.347,0.164
853,0.362,0.33,0.151,0.341,0.165
854,0.353,0.337,0.152,0.335,0.163
855,0.336,0.35,0.157,0.335,0.169
856,0.354,0.341,0.152,0.338,0.167
857,0.342,0.336,0.149,0.345,0.166
858,0.327,0.332,0.152,0.341,0.168
859,0.35,0.324,0.147,0.343,0.166
860,0.353,0.334,0.15,0.343,0.169
861,0.337,0.342,0.153,0.344,0.17
862,0.355,0.324,0.149,0.341,0.161
863,0.342,0.333,0.15,0.341,0.162
864,0.331,0.32,0.145,0.34,0.166
865,0.349,0.317,0.145,0.345,0.167
866,0.349,0.336,0.151,0.337,0.169
867,0.342,0.33,0.149,0.347,0.172
868,0.367,0.332,0.152,0.354,0.168
869,0.346,0.337,0.153,0.342,0.168
870,0.34,0.347,0.156,0.34,0.173
871,0.365,0.345,0.155,0.346,0.172
872,0.335,0.335,0.15,0.342,0.171
873,0.352,0.329,0.148,0.335,0.163
874,0.341,0.339,0.153,0.339,0.17
875,0.353,0.326,0.15,0.332,0.16
876,0.35,0.342,0.155,0.339,0.167
877,0.377,0.33,0.147,0.343,0.166
878,0.365,0.317,0.144,0.34,0.163
879,0.345,0.339,0.152,0.349,0.172
880,0.351,0.328,0.147,0.343,0.163
881,0.344,0.331,0.152,0.345,0.168
882,0.375,0.335,0.15,0.345,0.17
883,0.363,0.34,0.151,0.334,0.165
884,0.342,0.343,0.153,0.343,0.167
885,0.35,0.336,0.152,0.347,0.168
886,0.36,0.331,0.15,0.338,0.164
887,0.34,0.327,0.149,0.349,0.168
888,0.355,0.33,0.148,0.343,0.168
889,0.345,0.331,0.152,0.349,0.166
890,0.349,0.319,0.145,0.34,0.162
891,0.342,0.334,0.148,0.344,0.167
892,0.354,0.334,0.15,0.348,0.169
893,0.35,0.33,0.147,0.342,0.163
894,0.363,0.334,0.152,0.346,0.169
895,0.354,0.318,0.144,0.34,0.162
896,0.351,0.342,0.154,0.342,0.169
897,0.341,0.336,0.15,0.344,0.168
898,0.345,0.333,0.153,0.339,0.166
899,0.343,0.315,0.143,0.34,0.161
900,0.324,0.331,0.152,0.343,0.169
901,0.34,0.353,0.157,0.342,0.175
902,0.375,0.346,0.155,0.342,0.168
903,0.345,0.34,0.15,0.336,0.166
904,0.347,0.32,0.146,0.348,0.169
905,0.342,0.337,0.15,0.342,0.164
906,0.344,0.323,0.145,0.34,0.163
907,0.346,0.331,0.146,0.341,0.168
908,0.336,0.329,0.147,0.344,0.169
909,0.355,0.343,0.154,0.349,0.175
910,0.348,0.334,0.151,0.345,0.17
911,0.343,0.316,0.145,0.345,0.165
912,0.348,0.331,0.151,0.344,0.168
913,0.348,0.323,0.15,0.347,0.166
914,0.345,0.329,0.151,0.342,0.165
915,0.358,0.326,0.148,0.352,0.163
916,0.34,0.338,0.151,0.337,0.164
917,0.352,0.337,0.152,0.344,0.172
918,0.352,0.321,0.146,0.346,0.166
919,0.349,0.317,0.145,0.341,0.162
920,0.336,0.349,0.153,0.335,0.167
921,0.363,0.321,0.148,0.348,0.164
922,0.356,0.325,0.146,0.342,0.167
923,0.348,0.336,0.15,0.344,0.167
924,0.343,0.334,0.153,0.346,0.168
925,0.346,0.316,0.146,0.345,0.162
926,0.345,0.325,0.147,0.351,0.168
927,0.353,0.329,0.151,0.342,0.164
928,0.34,0.325,0.148,0.341,0.165
929,0.365,0.319,0.143,0.33,0.159
930,0.351,0.332,0.15,0.339,0.166
931,0.341,0.319,0.144,0.349,0.168
932,0.337,0.323,0.144,0.338,0.162
933,0.338,0.329,0.149,0.347,0.165
934,0.348,0.323,0.145,0.342,0.162
935,0.334,0.317,0.144,0.347,0.162
936,0.357,0.335,0.15,0.34,0.165
937,0.351,0.328,0.147,0.347,0.164
938,0.348,0.347,0.154,0.341,0.17
939,0.35,0.324,0.148,0.347,0.165
940,0.345,0.334,0.151,0.343,0.166
941,0.344,0.34,0.152,0.343,0.168
942,0.368,0.333,0.15,0.34,0.167
943,0.339,0.323,0.148,0.335,0.166
944,0.361,0.335,0.151,0.343,0.168
945,0.345,0.316,0.145,0.348,0.164
946,0.357,0.337,0.152,0.339,0.168
947,0.333,0.33,0.15,0.348,0.17
948,0.354,0.331,0.151,0.347,0.171
949,0.327,0.319,0.148,0.347,0.163
950,0.34,0.333,0.151,0.342,0.165
951,0.353,0.332,0.151,0.347,0.168
952,0.356,0.327,0.144,0.343,0.165
953,0.352,0.338,0.151,0.342,0.173
954,0.339,0.337,0.15,0.34,0.171
955,0.35,0.342,0.153,0.342,0.167
956,0.348,0.333,0.151,0.339,0.166
957,0.363,0.325,0.145,0.336,0.161
958,0.364,0.335,0.15,0.349,0.168
959,0.343,0.335,0.15,0.343,0.163
960,0.354,0.329,0.152,0.349,0.169
961,0.356,0.328,0.15,0.349,0.165
962,0.356,0.329,0.148,0.337,0.167
963,0.357,0.324,0.147,0.344,0.167
964,0.337,0.325,0.148,0.332,0.165
965,0.345,0.333,0.151,0.343,0.171
966,0.349,0.331,0.149,0.343,0.168
967,0.351,0.33,0.15,0.341,0.163
968,0.346,0.327,0.148,0.344,0.166
969,0.372,0.338,0.153,0.343,0.169
970,0.349,0.314,0.143,0.347,0.164
971,0.356,0.342,0.154,0.335,0.168
972,0.343,0.336,0.152,0.334,0.166
973,0.356,0.339,0.154,0.342,0.171
974,0.344,0.34,0.154,0.339,0.17
975,0.362,0.338,0.151,0.349,0.173
976,0.338,0.334,0.15,0.341,0.167
977,0.359,0.327,0.149,0.343,0.166
978,0.369,0.325,0.148,0.344,0.169
979,0.337,0.339,0.153,0.346,0.171
980,0.343,0.325,0.148,0.336,0.163
981,0.344,0.328,0.152,0.347,0.169
982,0.358,0.326,0.148,0.344,0.17
983,0.364,0.339,0.155,0.343,0.174
984,0.351,0.325,0.147,0.342,0.164
985,0.332,0.326,0.147,0.333,0.161
986,0.337,0.343,0.154,0.346,0.172
987,0.342,0.319,0.143,0.339,0.165
988,0.366,0.339,0.152,0.335,0.165
989,0.349,0.339,0.154,0.347,0.171
990,0.35,0.319,0.146,0.341,0.163
991,0.355,0.319,0.146,0.347,0.166
992,0.35,0.357,0.156,0.334,0.167
993,0.333,0.319,0.146,0.34,0.164
994,0.35,0.331,0.149,0.338,0.161
995,0.35,0.337,0.152,0.339,0.169
996,0.352,0.339,0.152,0.333,0.166
997,0.336,0.325,0.146,0.342,0.165
998,0.342,0.344,0.157,0.335,0.167
999,0.357,0.328,0.147,0.338,0.164